,video_id,start_frame,end_frame,class,total_frames
422,078_01_0005_0,0,30,8,151
423,078_01_0005_0,33,75,8,151
424,185_01_0009_1,91,111,8,149
425,185_01_0009_1,114,144,8,149
426,165_02_1011_3,0,33,8,154
427,165_02_1011_3,36,72,8,154
428,185_01_0020_0,1,44,8,154
429,185_01_0020_0,47,78,8,154
430,048_01_0007_4,31,71,8,164
431,048_01_0007_4,74,114,8,164
432,104_02_0009_0,2,56,8,193
433,104_02_0009_0,59,99,8,193
434,058_01_0011_0,0,84,8,229
435,058_01_0011_0,145,228,8,229
436,138_02_0025_4,144,175,8,242
437,138_02_0025_4,178,238,8,242
438,035_01_0033_B,0,284,24,286
439,035_01_0033_B,0,284,8,286
440,035_01_0036_B,0,291,8,292
441,035_01_0036_B,0,291,24,292
442,101_01_0017_3,0,76,8,296
443,101_01_0017_3,0,295,8,296
444,065_01_0027_C,0,190,8,299
445,065_01_0027_C,0,297,21,299
446,137_01_0021_A,0,171,24,340
447,137_01_0021_A,0,71,8,340
448,137_01_0021_A,246,287,8,340
449,137_01_0021_H,0,75,24,389
450,137_01_0021_H,363,387,24,389
451,137_01_0021_H,150,192,8,389
452,137_01_0021_H,267,345,8,389
453,214_01_0008_C,0,395,49,397
454,214_01_0008_C,0,195,20,397
455,214_01_0008_C,0,393,8,397
456,098_01_0011_10,90,183,24,188
457,098_01_0011_10,90,144,9,188
458,134_01_0039_0,30,129,24,226
459,134_01_0039_0,53,162,9,226
460,090_02_0015_A,0,232,24,233
461,090_02_0015_A,12,105,9,233
462,134_01_0042_0,0,87,24,249
463,134_01_0042_0,66,125,9,249
464,174_01_0042_A,0,285,24,286
465,174_01_0042_A,73,107,9,286
466,197_01_0028_1,58,290,9,292
467,197_01_0028_1,0,274,24,292
468,083_01_0001_B,0,302,12,303
469,083_01_0001_B,0,302,21,303
470,083_01_0001_B,237,246,9,303
471,083_01_0001_B,0,299,24,303
472,083_01_0043_C,0,302,24,305
473,083_01_0043_C,92,149,9,305
474,083_01_0043_C,290,303,9,305
475,068_02_0010_j,0,73,10,296
476,068_02_0010_j,0,98,8,296
477,068_02_0010_j,208,289,9,296
478,068_02_0010_j,100,143,23,296
479,068_02_0010_j,0,294,24,296
480,090_02_0026_A,0,317,24,319
481,090_02_0026_A,11,161,9,319
482,068_02_0010_O,72,153,9,385
483,068_02_0010_O,156,273,9,385
484,068_02_0010_O,0,314,24,385
485,137_01_0015_J,0,327,24,330
486,137_01_0015_J,47,80,9,330
487,137_01_0015_J,125,162,8,330
488,137_01_0015_J,179,225,9,330
489,090_02_0010_2,0,339,24,341
490,090_02_0010_2,161,228,9,341
491,090_02_0028_F,0,343,24,345
492,090_02_0028_F,0,28,9,345
493,083_01_0001_G,0,394,12,395
494,083_01_0001_G,0,394,21,395
495,083_01_0001_G,329,339,9,395
496,083_01_0001_G,0,392,24,395
497,083_01_0043_E,0,396,24,398
498,083_01_0043_E,6,54,8,398
499,083_01_0043_E,197,254,9,398
500,152_01_0028_D,0,395,24,398
501,152_01_0028_D,111,195,8,398
502,152_01_0028_D,182,269,9,398
503,174_03_0041_B,0,410,24,412
504,174_03_0041_B,0,78,9,412
505,174_03_0041_B,207,297,0,412
506,137_01_0035_0,203,411,24,414
507,137_01_0035_0,245,321,9,414
508,174_01_0042_E,0,421,24,422
509,174_01_0042_E,254,371,12,422
510,174_01_0042_E,2,35,9,422
511,174_01_0042_E,213,242,7,422
512,174_01_0042_E,281,326,5,422
513,159_01_0029_1,118,413,24,418
514,159_01_0029_1,143,317,9,418
515,005_01_0029_0,0,151,12,167
516,005_01_0029_0,88,149,8,167
517,086_01_0034_A,0,230,12,231
518,086_01_0034_A,141,230,8,231
519,026_02_0010_B,0,244,12,411
520,026_02_0010_B,71,136,8,411
521,026_02_0018_F,0,248,12,329
522,026_02_0018_F,0,45,8,329
523,191_02_0021_J,0,270,12,271
524,191_02_0021_J,80,143,8,271
525,035_01_0023_E,0,296,12,298
526,035_01_0023_E,0,113,8,298
527,086_01_0034_C,0,300,12,301
528,086_01_0034_C,0,138,8,301
529,026_02_0018_h,0,292,12,294
530,026_02_0018_h,145,230,8,294
531,026_03_0026_A,2,294,12,296
532,026_03_0026_A,94,150,8,296
533,035_01_0023_G,0,312,12,314
534,035_01_0023_G,24,180,8,314
535,052_02_0042_M,0,313,12,314
536,052_02_0042_M,0,19,8,314
537,035_01_0023_O,0,186,12,330
538,035_01_0023_O,129,162,5,330
539,035_01_0023_O,185,228,8,330
540,026_04_0023_L,0,326,12,327
541,026_04_0023_L,75,109,9,327
542,026_04_0023_L,228,272,8,327
543,083_01_0040_I,0,338,24,339
544,083_01_0040_I,0,338,12,339
545,083_01_0040_I,0,54,8,339
546,026_02_0018_f,0,328,12,329
547,026_02_0018_f,0,47,7,329
548,026_02_0018_f,240,325,8,329
549,026_02_0018_X,0,341,12,343
550,026_02_0018_X,194,279,8,343
551,026_02_0010_W,0,214,12,345
552,026_02_0010_W,216,297,12,345
553,026_02_0010_W,286,343,19,345
554,026_02_0010_W,2,66,8,345
555,026_02_0018_U,0,22,34,346
556,026_02_0018_U,0,345,12,346
557,026_02_0018_U,0,64,7,346
558,026_02_0018_U,258,343,8,346
559,005_03_0026_E,0,356,12,358
560,005_03_0026_E,7,43,10,358
561,005_03_0026_E,177,222,8,358
562,083_01_0040_B,0,375,24,376
563,083_01_0040_B,1,375,12,376
564,083_01_0040_B,135,190,8,376
565,191_02_0021_G,0,377,12,379
566,191_02_0021_G,0,18,8,379
567,191_02_0021_G,63,107,10,379
568,191_02_0021_G,187,250,8,379
569,191_02_0021_C,0,383,12,385
570,191_02_0021_C,3,47,10,385
571,191_02_0021_C,127,190,8,385
572,191_02_0021_C,317,383,8,385
573,026_03_0026_D,0,388,12,390
574,026_03_0026_D,0,55,8,390
575,052_02_0042_L,0,418,12,419
576,052_02_0042_L,105,124,8,419
577,052_02_0042_B,0,420,12,421
578,052_02_0042_B,0,31,8,421
579,027_01_0026_2,0,32,9,154
580,027_01_0026_2,35,68,9,154
581,206_01_0005_0,101,125,9,159
582,206_01_0005_0,128,155,9,159
583,138_02_0035_0,3,48,9,163
584,138_02_0035_0,51,96,9,163
585,138_01_0039_0,0,45,9,172
586,138_01_0039_0,48,86,9,172
587,138_01_0039_0,146,171,19,172
588,127_02_0006_1,1,51,9,180
589,127_02_0006_1,54,92,9,180
590,157_04_0001_0,89,128,9,185
591,157_04_0001_0,131,181,9,185
592,138_02_0037_0,24,84,9,205
593,138_02_0037_0,87,129,9,205
594,216_01_0025_0,0,65,9,233
595,216_01_0025_0,67,231,9,233
596,027_02_0066_4,120,171,9,247
597,027_02_0066_4,174,243,9,247
598,091_02_0004_L,0,13,9,277
599,091_02_0004_L,0,276,9,277
600,169_02_0012_5,105,230,9,331
601,169_02_0012_5,233,323,9,331
602,126_01_0003_2,195,222,9,336
603,126_01_0003_2,263,297,9,336
604,180_04_0013_2,30,56,9,336
605,180_04_0013_2,102,125,9,336
606,169_02_0021_6,0,158,9,373
607,169_02_0021_6,161,371,9,373
608,132_01_0011_D,0,110,9,364
609,132_01_0011_D,125,185,9,364
610,132_01_0011_D,342,363,11,364
611,132_01_0011_A,1,119,9,387
612,132_01_0011_A,134,194,9,387
613,132_01_0011_A,351,386,11,387
614,150_02_0003_A,71,102,9,409
615,150_02_0003_A,123,185,9,409
616,150_02_0003_A,275,327,9,409
617,150_02_0003_A,0,407,37,409
618,150_02_0003_A,0,407,25,409
619,008_02_0015_0,0,407,12,408
620,008_02_0015_0,200,404,9,408
621,158_01_002_0,0,425,25,426
622,158_01_002_0,188,300,9,426
623,158_01_002_0,321,401,9,426
624,022_02_0026_0,3,54,49,166
625,022_02_0026_0,129,165,49,166
626,022_02_0026_0,36,86,8,166
627,019_01_0050_0,63,149,8,181
628,019_01_0050_0,33,116,49,181
629,022_04_0033_5,9,240,49,245
630,022_04_0033_5,119,131,8,245
631,218_01_0036_A,0,245,49,247
632,218_01_0036_A,89,119,8,247
633,046_01_0029_A,0,304,49,306
634,046_01_0029_A,250,287,30,306
635,046_01_0029_A,125,152,8,306
636,218_01_0036_C,200,261,30,311
637,218_01_0036_C,0,249,49,311
638,218_01_0036_C,256,310,50,311
639,218_01_0036_C,1,31,8,311
640,218_01_0036_C,156,195,7,311
641,169_01_0025_c,0,328,49,329
642,169_01_0025_c,116,161,7,329
643,169_01_0025_c,275,326,8,329
644,169_01_0025__,20,340,49,342
645,169_01_0025__,0,128,8,342
646,169_01_0025__,167,218,8,342
647,046_01_0001_5,29,109,49,354
648,046_01_0001_5,109,206,8,354
649,022_03_0039_0,0,362,49,366
650,022_03_0039_0,84,147,8,366
651,081_01_0015_B,0,41,48,374
652,081_01_0015_B,101,289,8,374
653,081_01_0015_B,7,373,49,374
654,081_01_0015_B,323,373,19,374
655,066_01_0017_0,171,237,49,403
656,066_01_0017_0,191,234,8,403
657,051_05_0032_0,0,94,49,390
658,051_05_0032_0,82,170,8,390
659,169_02_0002_B,0,401,49,439
660,169_02_0002_B,399,425,19,439
661,169_02_0002_B,430,438,19,439
662,169_02_0002_B,0,113,8,439
663,169_02_0002_B,111,167,9,439
664,169_02_0002_B,299,389,8,439
665,169_01_0027_3,44,113,49,178
666,169_01_0027_3,56,107,9,178
667,123_01_0027_5,48,179,49,184
668,123_01_0027_5,141,179,9,184
669,022_01_0050_1,12,159,49,203
670,022_01_0050_1,159,180,48,203
671,022_01_0050_1,69,114,9,203
672,022_04_0025_I,0,238,49,239
673,022_04_0025_I,33,67,9,239
674,022_04_0047_3,72,236,49,240
675,022_04_0047_3,84,143,9,240
676,022_04_0025_N,0,342,49,344
677,022_04_0025_N,87,113,9,344
678,022_04_0025_N,194,254,9,344
679,022_04_0025_N,287,321,9,344
680,169_02_0010_6,91,329,49,352
681,169_02_0010_6,173,265,9,352
682,169_01_0025_h,0,360,49,363
683,169_01_0025_h,0,14,7,363
684,169_01_0025_h,128,179,8,363
685,169_01_0025_h,260,299,9,363
686,162_01_0006_C,0,402,49,404
687,162_01_0006_C,0,49,9,404
688,022_04_0025_O,0,408,49,409
689,022_04_0025_O,0,26,9,409
690,022_04_0025_O,107,167,9,409
691,022_04_0025_O,200,234,9,409
692,066_01_0002_1,73,152,21,155
693,066_01_0002_1,99,127,7,155
694,052_01_0032_0,69,225,21,243
695,052_01_0032_0,213,240,7,243
696,184_01_0044_D,0,250,21,251
697,184_01_0044_D,0,61,7,251
698,118_04_0018_C,0,300,21,303
699,118_04_0018_C,24,77,9,303
700,118_04_0018_C,149,198,7,303
701,121_01_0020_D,94,144,30,304
702,121_01_0020_D,0,255,21,304
703,121_01_0020_D,254,296,7,304
704,085_04_0038_B,0,19,7,305
705,085_04_0038_B,0,303,21,305
706,121_01_0006_Q,0,310,21,312
707,121_01_0006_Q,127,153,10,312
708,121_01_0006_Q,251,268,7,312
709,191_02_0037_D,0,27,17,330
710,191_02_0037_D,0,328,21,330
711,191_02_0037_D,163,237,7,330
712,191_02_0037_B,0,334,21,335
713,191_02_0037_B,0,46,7,335
714,065_01_0032_F,0,345,7,346
715,065_01_0032_F,0,345,21,346
716,063_02_0026_A,69,186,7,373
717,063_02_0026_A,0,371,21,373
718,124_03_0002_E,0,378,21,379
719,124_03_0002_E,119,191,7,379
720,191_02_0039_6,20,384,21,385
721,191_02_0039_6,110,136,7,385
722,184_04_0020_B,0,416,21,418
723,184_04_0020_B,0,86,7,418
724,191_02_0037_E,47,206,17,420
725,191_02_0037_E,136,418,21,420
726,191_02_0037_E,343,416,7,420
727,118_04_0018_B,0,444,21,447
728,118_04_0018_B,168,221,9,447
729,118_04_0018_B,293,342,7,447
730,121_01_0005_B,0,433,21,435
731,121_01_0005_B,100,137,7,435
732,121_01_0005_B,218,247,9,435
733,121_01_0005_B,415,433,8,435
